2048,1,1,0,77693,437990.
2048,1,1,1,77693,437990.
2048,1,1,2,77693,437990.
2048,1,2,0,54699,460984.
2048,1,2,1,51352,464331.
2048,1,2,2,55217,460466.
2048,1,4,0,48777,466906.
2048,1,4,1,43865,471818.
2048,1,4,2,50050,465633.
2048,1,8,0,47934,467749.
2048,1,8,1,42672,473011.
2048,1,8,2,49315,466368.
2048,1,16,0,47798,467885.
2048,1,16,1,42312,473371.
2048,1,16,2,49402,466281.
2048,1,32,0,47856,467827.
2048,1,32,1,42149,473534.
2048,1,32,2,49396,466287.
2048,2,1,0,75703,439980.
2048,2,1,1,75703,439980.
2048,2,1,2,75703,439980.
2048,2,2,0,52685,462998.
2048,2,2,1,49347,466336.
2048,2,2,2,53024,462659.
2048,2,4,0,46664,469019.
2048,2,4,1,41749,473934.
2048,2,4,2,47808,467875.
2048,2,8,0,45830,469853.
2048,2,8,1,40553,475130.
2048,2,8,2,47319,468364.
2048,2,16,0,45693,469990.
2048,2,16,1,40183,475500.
2048,2,16,2,47276,468407.
2048,2,32,0,45727,469956.
2048,2,32,1,40010,475673.
2048,2,32,2,47469,468214.
2048,4,1,0,74967,440716.
2048,4,1,1,74967,440716.
2048,4,1,2,74967,440716.
2048,4,2,0,51708,463975.
2048,4,2,1,48362,467321.
2048,4,2,2,52224,463459.
2048,4,4,0,45662,470021.
2048,4,4,1,40742,474941.
2048,4,4,2,46946,468737.
2048,4,8,0,44819,470864.
2048,4,8,1,39529,476154.
2048,4,8,2,46268,469415.
2048,4,16,0,44692,470991.
2048,4,16,1,39160,476523.
2048,4,16,2,46439,469244.
2048,4,32,0,44708,470975.
2048,4,32,1,38977,476706.
2048,4,32,2,46385,469298.
2048,8,1,0,65637,450046.
2048,8,1,1,65637,450046.
2048,8,1,2,65637,450046.
2048,8,2,0,42652,473031.
2048,8,2,1,39432,476251.
2048,8,2,2,43179,472504.
2048,8,4,0,35510,480173.
2048,8,4,1,30435,485248.
2048,8,4,2,36717,478966.
2048,8,8,0,34525,481158.
2048,8,8,1,29028,486655.
2048,8,8,2,36080,479603.
2048,8,16,0,34349,481334.
2048,8,16,1,28559,487124.
2048,8,16,2,35845,479838.
2048,8,32,0,34320,481363.
2048,8,32,1,28305,487378.
2048,8,32,2,36106,479577.
2048,16,1,0,56283,459400.
2048,16,1,1,56283,459400.
2048,16,1,2,56283,459400.
2048,16,2,0,36685,478998.
2048,16,2,1,33371,482312.
2048,16,2,2,36509,479174.
2048,16,4,0,25304,490379.
2048,16,4,1,21482,494201.
2048,16,4,2,26471,489212.
2048,16,8,0,23989,491694.
2048,16,8,1,19611,496072.
2048,16,8,2,25199,490484.
2048,16,16,0,23818,491865.
2048,16,16,1,18925,496758.
2048,16,16,2,25054,490629.
2048,16,32,0,23542,492141.
2048,16,32,1,18695,496988.
2048,16,32,2,25104,490579.
2048,32,1,0,52397,463286.
2048,32,1,1,52397,463286.
2048,32,1,2,52397,463286.
2048,32,2,0,38465,477218.
2048,32,2,1,34766,480917.
2048,32,2,2,38767,476916.
2048,32,4,0,25630,490053.
2048,32,4,1,21973,493710.
2048,32,4,2,25310,490373.
2048,32,8,0,21362,494321.
2048,32,8,1,17612,498071.
2048,32,8,2,22239,493444.
2048,32,16,0,21200,494483.
2048,32,16,1,17055,498628.
2048,32,16,2,21819,493864.
2048,32,32,0,20490,495193.
2048,32,32,1,16471,499212.
2048,32,32,2,21780,493903.
2048,64,1,0,56948,458735.
2048,64,1,1,56948,458735.
2048,64,1,2,56948,458735.
2048,64,2,0,43869,471814.
2048,64,2,1,40260,475423.
2048,64,2,2,43754,471929.
2048,64,4,0,28338,487345.
2048,64,4,1,24404,491279.
2048,64,4,2,28936,486747.
2048,64,8,0,23235,492448.
2048,64,8,1,19219,496464.
2048,64,8,2,24243,491440.
2048,64,16,0,23380,492303.
2048,64,16,1,19212,496471.
2048,64,16,2,24167,491516.
2048,64,32,0,22922,492761.
2048,64,32,1,19220,496463.
2048,64,32,2,23817,491866.
4096,1,1,0,54221,461462.
4096,1,1,1,54221,461462.
4096,1,1,2,54221,461462.
4096,1,2,0,44071,471612.
4096,1,2,1,41843,473840.
4096,1,2,2,45024,470659.
